timestamp,cme_cpa_deg,cme_width_deg,cme_speed_km_s,is_halo
1996-01-11 00:14:36+00:00,267.0,18.0,499.0,False
1996-01-13 22:08:30+00:00,265.0,16.0,290.0,False
1996-01-15 07:01:10+00:00,262.0,43.0,525.0,False
1996-01-22 03:11:01+00:00,105.0,37.0,267.0,False
1996-01-26 09:16:19+00:00,90.0,27.0,262.0,False
1996-01-30 05:56:07+00:00,79.0,24.0,30.0,False
1996-01-30 05:56:07+00:00,272.0,28.0,60.0,False
1996-01-31 02:20:38+00:00,272.0,56.0,69.0,False
1996-01-31 06:52:13+00:00,274.0,47.0,158.0,False
1996-02-01 02:21:56+00:00,75.0,40.0,70.0,False
1996-02-02 02:45:31+00:00,268.0,32.0,251.0,False
1996-02-02 11:42:12+00:00,133.0,58.0,65.0,False
1996-02-02 23:00:47+00:00,180.0,119.0,80.0,False
1996-02-03 00:07:03+00:00,83.0,52.0,306.0,False
1996-02-06 06:21:31+00:00,267.0,43.0,37.0,False
1996-02-08 05:17:49+00:00,263.0,70.0,184.0,False
1996-02-10 02:07:40+00:00,100.0,43.0,18.0,False
1996-02-10 22:43:52+00:00,100.0,44.0,178.0,False
1996-02-11 07:24:11+00:00,96.0,48.0,145.0,False
1996-02-12 05:47:26+00:00,91.0,53.0,160.0,False
1996-02-17 02:06:31+00:00,279.0,73.0,317.0,False
1996-02-17 05:18:59+00:00,86.0,36.0,171.0,False
1996-02-18 01:03:59+00:00,271.0,29.0,180.0,False
1996-02-19 05:15:48+00:00,98.0,30.0,266.0,False
1996-03-02 04:11:53+00:00,88.0,36.0,108.0,False
1996-03-03 04:12:30+00:00,99.0,26.0,186.0,False
1996-03-05 01:32:07+00:00,96.0,37.0,47.0,False
1996-03-05 16:16:09+00:00,270.0,16.0,174.0,False
1996-03-06 05:38:36+00:00,268.0,55.0,175.0,False
1996-03-07 01:00:19+00:00,57.0,39.0,200.0,False
1996-03-07 07:51:56+00:00,91.0,43.0,60.0,False
1996-03-08 07:12:03+00:00,90.0,19.0,170.0,False
1996-03-09 04:27:49+00:00,84.0,39.0,93.0,False
1996-03-11 07:27:12+00:00,261.0,32.0,15.0,False
1996-03-11 18:22:39+00:00,86.0,52.0,244.0,False
1996-03-13 02:42:06+00:00,105.0,17.0,130.0,False
1996-03-14 09:38:00+00:00,101.0,22.0,74.0,False
1996-03-14 11:44:18+00:00,285.0,59.0,418.0,False
1996-03-15 11:44:58+00:00,349.0,7.0,225.0,False
1996-03-15 13:54:27+00:00,101.0,26.0,222.0,False
1996-03-15 23:57:34+00:00,76.0,29.0,71.0,False
1996-03-16 02:03:38+00:00,262.0,27.0,65.0,False
1996-03-17 12:25:18+00:00,89.0,36.0,20.0,False
1996-03-18 02:45:52+00:00,94.0,22.0,,False
1996-03-18 08:33:09+00:00,276.0,25.0,158.0,False
1996-03-18 16:26:43+00:00,257.0,32.0,,False
1996-03-22 00:48:44+00:00,282.0,17.0,142.0,False
1996-03-23 16:01:30+00:00,142.0,12.0,45.0,False
1996-03-24 04:52:50+00:00,286.0,35.0,63.0,False
1996-03-28 20:24:05+00:00,99.0,42.0,13.0,False
1996-03-30 08:06:05+00:00,87.0,51.0,18.0,False
1996-04-02 02:36:21+00:00,267.0,37.0,192.0,False
1996-04-02 23:08:01+00:00,262.0,40.0,272.0,False
1996-04-03 04:31:16+00:00,80.0,48.0,28.0,False
1996-04-03 14:30:40+00:00,257.0,36.0,,False
1996-04-05 06:11:28+00:00,273.0,47.0,323.0,False
1996-04-05 14:16:18+00:00,26.0,4.0,322.0,False
1996-04-06 00:51:12+00:00,268.0,37.0,293.0,False
